,Url,Namn,Alt. namn,Byggår och arkitekt,Alternativt namn,Annexskolor,Adress,Arkiv på Stadsarkivet,Rektorsområde,Arkiv hos övriga,Historik
20,Visa/skarpnacks-od-1--1931-1945/ca74ca6c-1455-46da-b7ff-04975755860f,Skarpnäcks öd 1  1931-1945,,,,,,,,,"Huvudskola:
Skarpnäcks gamla skola.

Skarpnäcks öd bildades ht 1931 och upphörde efter vt 1945. Verksamheten övertogs av Hammarby öd."
21,Visa/liljeholmens-komvux/5f9ad085-bc4d-4882-9f29-049fa121969c,Liljeholmens komvux,,,,,"199x-1997 Trekantsvägen 7
1997-2000 Lövholmsvägen 2
2002-?       d:o",,,,"Kommunalt vuxengymnasium (enl. uppgift spec. för dyslektiker och personer med inlärningssvårigheter)

Annex under Zinkensdamms vuxengymnasium 199x-1998 - se d:o. Egen enhet 1998-1999. Annex under Bandhagens vuxengymnasium 1999-2000, därefter överfört till Bandhagen. From 2002 annex till Fogelströmska gymnasiet (fd Zinkensdamm) med introduktionskurs för invandrarungdom (slussklass, IVIK-slussen - jämför d:o)."
22,Visa/elektrikergymnasiet/eb960b52-40e0-45fa-87ac-04cead4c7217,Elektrikergymnasiet,,,,,"2007-2013? Tellusborgsvägen 71
2014-      Radiusbacken 9",,,,"Fristående gymnasieskola.

Öpppnad 2006 I katalog från Utbildn.förv. 2012 som Elektrikergymnasiet i Stockholm."
23,Visa/satra-ro--1965-1991/d907c8a8-a38b-4662-816b-04ff18e72d18,Sätra ro  1965-1991,,,,,,,,,"Huvudskolor:
Björksätraskolan 1965-1966, Sätraskolan 1966-1991."
24,Visa/ribbings-skola/66bf55af-974a-4bb6-a588-05178c878725,Ribbings skola,Barbro Ribbings privata småskola / Ribbings förberedande skola,,,,1938 anges Brahegatan 39,,,,Privatskola
25,Visa/mariana-fahlmans-skola/0fac0b6e-4ded-4b44-8af6-0555c8acd436,Mariana Fahlmans skola,,,,,Röda bodarne 1,,,,"Privatskola

Känd 1868 (12 barn), 1871 (14 barn)."
26,Visa/sakerhetsgymnasiet/18b6517d-47a3-40da-984e-05576d335403,Säkerhetsgymnasiet,,,,,Isafjordsgatan 30B,,,,"Fristående gymnasieskola

Öppnade ht 2003 i Solna och vt 2006 i Kista (Isafjordsgatan). Skolan stängde i juni 2018."
27,Visa/stockholms-stads-hogre-folkskola-for-medborgerlig-bildning/c572fdf9-d302-4b61-acc7-0599d4502339,Stockholms stads högre folkskola för medborgerlig bildning,,,,,,,,,"Högre folkskola, Kommunal mellanskola

Öppnades 1919 som en 4-årig påbyggnad på den 6-åriga folkskolan och benämndes som ovan 1919-1923 och 1923-1926 Kommunala mellanskolan i Stockholm.
1923/24 var skolan förlagd till lokaler i Adolf Fredriks, Engelbrekts, Enskede, Högalids, Kungsholmens och Sofia folkskolor. 
1925/26 fanns även en avdelning i Alviks folkskola. 
1926/27 delades skolan i två: Stockholms norra resp. södra kommunala mellanskola - se vidare S:t Görans resp. Högalids samrealskola."
28,Visa/bernadottegymnasiet/0723aa32-ed4f-4da4-a4d1-059e050fceb1,Bernadottegymnasiet,,,,,"Munchenbryggeriet 35, Söder Mälarstrand 65",,,,"Gymnasium

Inrättat 1995 för utbildning i nära samarbete med fem uniformsmyndigheter (polisen, försvarsmakten, tullen, kustbevakningen och räddningstjänsten). Växte fram ur integrationsprojektet - Operation Gränsland (initierat av dåvarande ÖB Bengt Gustafsson).
Annex till Frans Schartaus gymnasium 1995-2005 - se d:o.
Egen enhet from ht 2005.

Adresser:
1995-2008 Tullgårdsgatan 12
2008-2012 Blekingegatan 55 (i en del av fd Åsö gymnasiums byggnad from okt 2008)
2012-2014 Tjurbergsgatan 23 (samma byggnad men med annan gatuadress)
2015-     Blekingegatan 55 (åter den tidigare gatuadressen)
2020/21?  Munchenbryggeriet 35"
29,Visa/liljeholmens-slojdskola/b5c56720-806a-4ef6-80cf-05d79115f315,Liljeholmens slöjdskola,Liljeholmens småskola,,,,,,,,
30,Visa/atleticagymnasiet/51732aab-a718-407d-a931-0622a5a565e6,Atleticagymnasiet,"Atletica idrottsgymnasium, Kista idrottsgymnasium,
Tibble gymnasium Campus Kista",,,,"Kistagången 16 / Isafjordsgatan 22
Nordenflychtsvägen 70",,,,"Fristående gymnasieskola med idrottsinriktning. 2020 blev skolan en del av Tibble gymnasium och bytte namn till Tibble gymnasium Campus Kista.

(se även Sätra idrottsgymnasium)
From 2005 Atleticagymnasiet.
From ht 2020 Tibble gymnasium Campus Kista."
31,Visa/ornbergs-skola/f636c0b5-ec47-4956-8902-062bae17b235,Örnbergs skola,,,,,,,,,
32,Visa/hedvig-eleonora-skola/725d2e38-064f-43a6-b956-069038938cbc,Hedvig Eleonora skola,Hedvig Eleonora folkskola,,,,Linnégatan 54,,,,"Folkskola, Enhetsskola, Grundskola åk 1-6

Huvudskola i Hedvig Eleonora öd/ro1 1903-1974, Hedvig Eleonora ro2 1987-1991. 
Egen enhet 1992. Tillhörde Östermalms Sdn 1997-vt 2007.
1961 införs Montessoriundervisning inom (delar av) skolan.

Se även Linnéskolan.
Se även Oscars församling (om dennas användande av skolan).
Även undervisning på Riddargatan 5 (läsåret 1956/57 på denna adress även Småskoleseminariets övningsskola).

Provisorier:
Även lokaler Skeppargatan 36 till 1926. därefter Skeppargatan 42 till 1933. Hyrd lokal på Nybrogatan 19 i slutet av 1950-talet. 
Klasser i Småskoleseminariets övningsskola, Riddargatan 5."
33,Visa/stockholms-praktiska-gymnasium-liljeholmen/14e7b697-de43-448f-abf2-06bdb7b30dc5,Stockholms praktiska gymnasium Liljeholmen,Praktiska Stockholm,,,,Mejerivägen 2,,,,"Fristående gymnasieskola

Öppnad ht 2000.
Funnits i lokaler i Åsö gymnasium (Blekingegatan 55) åtm. sept 2001 då man flyttade till lokaler i Liljeholmen (Mejerivägen 2).
Drivs av Baggium.

From ht 2007:
Stockholms praktiska gymnasium Liljeholmen (Mejerivägen 2)
och
Stockholms praktiska gymnasium Bromma - se d:o"
34,Visa/eriksdals-odro--1938-1992/ad3830e2-8508-4758-890d-06c54f1b803d,Eriksdals öd/ro  1938-1992,,,,,,,,,Under åren 1971-1976 var Eriksdalsskolans högstadium (fd Katarina realskola) huvudskola !
35,Visa/jensen-gymnasium-internationella/488b70d6-daa9-4830-b603-06f6c21504fa,Jensen gymnasium Internationella,Jensen gymnasium Västra,,,,Gjörwellsgatan 26 (26-28),,,,"Fristående gymnasieskola

Öppnad ht 2007?
Upptas på nätsida över gymnasier 2015 som Jensen gymnasium internationella med samma adress.
Saknas i lista över gymnasier 2020. Nedlagd?"
36,Visa/zigenarskolan/3053c4a4-60dd-4816-bb3f-0700b5f15a77,Zigenarskolan,,,,,,,,,Privatskola
37,Visa/lovlundsskolan/6bb81035-caf1-4138-b909-07f51e05e83a,Lövlundsskolan,,,,,Getfotsvägen 52,,,,"Folkskola, Grundskola åk 1-6

Paviljongskola, nedlagd 1972."
38,Visa/loviselundsskolan/9638ddeb-9832-45e2-858a-084be6b89b48,Loviselundsskolan,(Loviselundsskolans grundsärskola),,,,Beata Sparres väg 16,,,,"Folkskola, Grundskola åk 1-6 (1-5 2011-2013), Grundsärskola

Huvudskola i Hässelbygårds öd 1955-1958 och i Loviselunds ro 1960-1991. Egen enhet 1991. Tillhör Hässelby Sdn 1997-1998 och Hässelby-Vällingby Sdn 1999-vt 2007.

Två paviljonger 1960 på Astrakangatan 81 - se även Hässelbygårdsskolan och Ekebyskolan.
Provisorier: Persikogatan 32-36, 56-58 och 66-68, Enspännargatan 16 på 1950-talet.
Tre paviljonger Loviselundsvägen 23-25  - se Daltorpsskolan.

Med grundsärskola (åtm. från ht 2009) - Loviselundsskolans grundsärskola.

2015 anges i arkivbeskrivningen: 
Montessoriinspirerat arbetssätt i åk 1-3, grupper för elever med långsam inlärning, förberedelseklasser för barn med annat modersmål, grundsärskoleklass på träningsskolenivå samt samundervisningsklass för barn med autism.
Ombyggnad 2000-2001 varvid skolan inhystes i närbelägna kollektivhuset Familjehotellet. 2005-2006 ombyggnad av byggnaden med skolkök och matsal."
39,Visa/abrahamsbergs-odro-1946-1991/1254bcca-e33d-4611-80e3-086d3a54a8d7,Abrahamsbergs öd/ro 1946-1991,,,,,,,,,"Folkskola, Enhetsskola, Grundskola åk 1-9.

Abrahamsbergsskolan var huvudskola i Abrahamsbergs öd/ro 1946-1991."
40,Visa/bromma-gymnasium/0569ac94-660e-4f42-bf36-087339aa0c66,Bromma gymnasium,Högre allmänna läroverket i Bromma,,,,Nyängsvägen 152-154,,,,"Gymnasieskola, Realskola, Enhetsskola, Grundskola åk 7-9 1961-1967. Vuxengymnasium.

Öppnade ht 1934 i lokaler i Olovslunds och Ålstens folkskolor. Egen nyuppförd byggnad 1936 som invigdes 1937.
1934-1967 Högre allmänna läroverket i Bromma (statligt läroverk/gymnasium). Kommunaliserades 1966 och namnändrades 1967 till Bromma gymnasium.
Samläroverk med realskola och gymnasium. Studentexamen 1938-1968, realexamen 1938-1964.

Med vuxengymnasium 1997-2002.
Evakuerad till fd S:t Jacobi gymnasium 2006-x i samband med renovering.

Provisorier:
1934-1936 i Olovslunds folkskola
1935-1936 i Ålstens folkskola
(from 1936 i egen byggnad, invigd 1937)"
41,Visa/collegium-illustre--collegium-claraemontanum/2b94aa51-dcb5-4b1d-bb5c-087c4a12c1c2,Collegium illustre / Collegium Claraemontanum,,,,,,,,,se Stockholms stads trivialskola samt Klara allmänna läroverk !
42,Visa/optikerutbildning--optikerskolan/566913f9-73d0-448b-957a-08882a560375,Optikerutbildning / Optikerskolan,,,,,,,,,"Yrkesskola

Privat branschägd skola i Hässelby (Optikerskolan).
Kommunaliserad 1971 under dåvarande Polhemsgymnasiet.
From ht 1975 tillhörande Nya Elementars gymnasium, 1991-1994 tillhörande S:t Eriks gymnasium. (Se vidare dessa).
Ht 1994 förstatligad och flyttad till Karolinska institutet.
Numera under universitetet ??"
43,Visa/sjolins-ekonomiska-gymnasium--sjolins-ekonomiska-gymnasium-sodermalm/a898a977-1e35-406c-bf83-089f0630d139,Sjölins ekonomiska gymnasium / Sjölins ekonomiska gymnasium Södermalm,Vittragymnasiet Södermalm,,,,"2011-2014?  Sandbacksgatan 10
2015?-2016? Mäster Mikaels gata 10C
2016?-      Sandbacksgatan 10",,,,"Friststående gymnasieskola

Upptas fg i katalog 2011.
På nätet 2014 anges namnet Sjölins ekonomiska gymnasium Södermalm.

Skolan ligger i samma byggnad som Sjölins gymnasium Södermalm och Vittra grundskola Södermalm. Skolorna drivs av bolaget AcadeMedia.
Olika adresser har dock figurerat.

Upptas ej i katalog 2021. Finns ej heller med på Sjölins hemsida."
44,Visa/vasastadens-kommunala-flickskola/c72a98a0-ce60-4479-af26-08a34cd6d2d5,Vasastadens kommunala flickskola,Vasastadens flickskola,,,,Upplandsgatan 100,,,,"Kommunal flickskola

Bildad 1939 genom kommunalisering och sammanslagning av de privata flickskolorna Åhlinska elementarskolan (Dalagatan), 
Vasa högre flickskola (Hälsingegatan) och Wallinska elementarskolan (Tegnérlunden). Nedlagd 1968.

Adresser:
1939/40 resp. avdelningar i sina ""forna"" lokaler
1940-1953 Dalagatan 18 (fd Åhlinska skolan). Huvudskola och exp., övriga avd. kvar i gamla lokalerna (Tegnérlunden och Hälsingegatan)
1953-1968 S:t Eriksparken (senare Upplandsgatan 100), nyuppförd skolbyggnad för samtliga tidigare utspridda avd.

Efter nedläggningen öppnades Rödabergsskolan i byggnaden 1968 - se vidare denna."
45,Visa/bromma-od--1916-1929/f779e7dc-c86f-4f11-95d3-08f3cdb68ded,Bromma öd  1916-1929,,,,,,,,,"Bromma öd 1916-1929 (akivet ingår i Bromma norra öd).
Huvudskola: Alviksskolan - se öven d:o.
Delades 1929 i Bromma norra öd resp. Bromma södra öd - se vidare dessa."
46,Visa/internationella-engelska-skolan-i-enskede/476a100a-fdb8-4934-93cc-08fb85792a77,Internationella Engelska skolan i Enskede,Engelska skolan söder / English School South / IES Enskede / Internationella Engelska Skolan Enskede,,,,Lingvägen 123,,,,"Fristående grundskola åk 4-9

Öppnad 1998. Profil: tvåspråkighet. Enligt skolans hemsida grundad 1993.
Gymnasium - se Engelska skolans gymnasium.
I katalog 2007 anges namnet Internationella Engelska skolan i Enskede."
47,Visa/larkan/e2e5d030-3764-400c-9900-0901aef6230e,Lärkan,"Bredängstorg 21
senare-  Måsholmstorget 26-28 (åtm. from 2004)",,,,se Historik mm !,,,,"Gymnasieskola ?

199x-1999 annex under Bredängsskolan. 1999 som komvux utan benämningen Lärkan (annex under Skärholmens gymnasium).
2000 som Lärkan, annex till Skärholmens gymnasium (gymnasieförberedande år) from 2006 till Stockholms gymnasium för scenkonst enl. uppgift.

se resp. huvudskola under vilka Lärkan varit annex."
48,Visa/p-a-fogelstroms-gymnasium/70b36ec3-6216-4c53-b4e4-092290149a9e,P A Fogelströms gymnasium,,,,,"Blekingegatan 55   2017-2018
Stigbergsgatan 26  2018-",,,,"Kommunalt gymnasium

Enligt mediauppgifter ska byggnaden på Stigbergsgatan renoveras och preliminärt återöppnas 2018 som ett nytt kommunalt gymnasium med 750 platser på ekonomi- och humanistprogrammen. Detta nya gymnasium skall ev. öppna redan 2017 i provisoriska lokaler innan flytt till Stigberget. Ett arbetsnamn på det nya gymnasiet Fogelströms gymnasium.

Enligt en senare tidningsartikel: Nytt kommunalt gymnasium i fd Frans Schartaus handelsinstituts renoverade byggnad; ämnas att öppna ht 2018. Beräknas hysa 800 elever och vara inriktad på ekonomi.

I lista över gymnasier 2017 upptas P A Fogelströms gymnasium på Stigbergsgatan 26. På hemsidan framgår att skolan öppnat ht 2017 men finns på Blekingegatan 55 under läsåret 2017/18.

Jämför Fogelströmska gymnasiet."
49,Visa/kongliga-theaterns-elevskola/d810d90d-7e8c-4cca-928b-0968a05547ce,Kongliga Theaterns elevskola,Operans balettelevskola / Kongliga Theaterns balettelevskola,,,,,,,,"Från 1863
1873 Smålandsgatan 10

Öppnad 1786?
Opernas balettelevskola kommunaliserades 1982 - se Riddarfjärdsskolan (och Högalidsskolan)."
50,Visa/backluraskolan/f2c7fad3-5341-400a-9c4c-097e7b2903ac,Backluraskolan,,,,,Brunklövergränd 12,,,,"Grundskola åk F-6

Egen enhet 1991.
Tillhörde Hässelby Sdn 1997-1998, Hässelby-Vällingby Sdn 1997-vt 2007."
51,Visa/fagerlind-moselius-skola/f30b4a30-3cc9-4e14-b775-09a2d5731cfa,Fagerlind-Moselius' skola,Fagerlind Moselius skola,,,,Norr Mälarstrand 24,,,,"Privatskola, småskola (åk 1-6). Förberedande skola och kindergarten.

Verksam från mitten av 1930-talet till 1966. Från start enbart årskurs 1-4, från mitten av 1950-talet årskurs 1-6.  

Lokaler i de 2 första våningarna i ett ursprungligen privathus från 1908.
Drevs av fru Svea Fagerlind och fru Ebba Moselius.

Källa: Conradson, Birgitta: Kungsholmen öster om Fridhemsplan. Stocksholmsmonografi nr 99. 1997. s.163-165.
Marie-Louise Fagerlind (muntlig)"
52,Visa/statens-kompletteringsgymnasium/5c5769b8-ffed-42a1-b1ca-09a7bdfd3f40,Statens kompletteringsgymnasium,,,,,,,,,"Gymnasium

??"
53,Visa/dovstumlararseminariet/bffa9aca-c97c-42cb-8292-0a4a4e896d64,Dövstumlärarseminariet,Manilla dövstumlärarseminarium1,,,,,,,,"Utbilningdinstitution

Seminariet för utbildning av dövstumlärare startade 1874 vid Manillaskolan. 1967 överfördes utbildningen till Lärarhögskolan i Stockholm."
54,Visa/horselklasser/07603f7a-5388-4f94-b8d1-0a7aaed17ab5,Hörselklasser,,,,,,,,,se Storkyrkoskolan och Alviksskolan !
55,Visa/johannesbergs-folkskola/b5180cdb-41a0-4702-93d0-0a9088f487e2,Johannesbergs folkskola,,,,,,,,,
56,Visa/galo-jordbruksskolor/76b3f773-f3cf-42b7-83b6-0ab8aa2a6515,Gålö jordbruksskolor,,,,,,,,,"Enligt uppgift tillhörde skolan Hushållningssällskapet 
Uppland-Sörmland.
Arkivet för Hushållningssällskapet skall finnas i Uppsala landsarkiv. (Huruvida där också finns handlingar från jordbruksskolan är fn oklart)."
